buyer_id;gender;age;age_group;employment_status;housing_status;country;brand;sneaker_price_usd;purchase_channel;purchase_season;reason_for_purchase;discount_used;comfort_rating;durability_rating;repurchase_intent
992;Female;15;Adult;Self-employed;Renter;France;Under Armour;283;Retail Store;Autumn;Sports;Yes;2;4;Yes
993;Female;30;Youth;Unemployed;Home Owner;USA;Under Armour;368;Online;Summer;Comfort;No;4;4;Yes
994;Female;53;Adult;Unemployed;Renter;Brazil;Under Armour;356;Online;Summer;Fashion;Yes;2;5;Yes
995;Female;26;Adult;Employed;Home Owner;Italy;New Balance;189;Retail Store;Summer;Sports;No;2;1;Yes
996;Male;43;Youth;Self-employed;Renter;Canada;Crocs;239;Retail Store;Winter;Comfort;No;4;5;No
997;Male;39;Adult;Student;Homeless;UK;ASICS;352;Online;Winter;Fashion;No;1;3;No
998;Female;29;Adult;Student;Home Owner;Italy;ASICS;84;Online;Winter;Work;Yes;2;4;No
999;Female;67;Youth;Unemployed;Renter;India;Vans;120;Retail Store;Winter;Fashion;No;4;2;Yes
1000;Male;58;Senior;Employed;Renter;India;Crocs;254;Retail Store;Spring;Fashion;No;3;3;No
1001;Female;41;Adult;Unemployed;Renter;UK;ASICS;270;Retail Store;Spring;Fashion;No;5;1;Yes
1002;Male;48;Adult;Employed;Home Owner;China;Puma;69;Online;Autumn;Comfort;Yes;3;2;Yes
1003;Male;49;Youth;Student;Home Owner;UK;Nike;181;Retail Store;Summer;Comfort;No;1;3;No
1004;Male;38;Youth;Employed;Home Owner;Italy;Adidas;256;Online;Winter;Work;Yes;3;5;Yes
1005;Male;65;Adult;Student;Home Owner;Germany;Balenciaga;375;Online;Winter;Fashion;No;5;5;Yes
1006;Male;29;Youth;Employed;Home Owner;USA;ASICS;185;Retail Store;Summer;Fashion;No;1;4;No
1007;Female;34;Adult;Unemployed;Renter;China;New Balance;199;Retail Store;Summer;Fashion;Yes;3;2;Yes
1008;Male;37;Youth;Student;Homeless;USA;Puma;405;Retail Store;Spring;Fashion;No;3;2;Yes
1009;Female;14;Adult;Self-employed;Home Owner;Italy;Puma;205;Retail Store;Summer;Fashion;Yes;2;1;No
1010;Female;67;Adult;Self-employed;Home Owner;Germany;Crocs;155;Online;Spring;Sports;Yes;1;4;Yes
1011;Male;34;Adult;Student;Renter;India;Adidas;92;Retail Store;Summer;Work;No;3;5;Yes
1012;Male;17;Adult;Self-employed;Home Owner;Germany;Vans;182;Online;Summer;Comfort;No;5;2;No
1013;Female;16;Senior;Student;Renter;Germany;Vans;417;Online;Winter;Comfort;No;3;2;No
1014;Male;48;Adult;Unemployed;Renter;Germany;Adidas;344;Online;Winter;Sports;No;2;4;Yes
1015;Male;18;Adult;Unemployed;Renter;USA;Puma;72;Online;Spring;Comfort;No;5;2;Yes
1016;Female;64;Adult;Employed;Home Owner;Germany;Balenciaga;308;Online;Summer;Fashion;No;4;2;No
1017;Female;33;Senior;Self-employed;Home Owner;Italy;Adidas;238;Online;Winter;Comfort;No;2;3;No
1018;Male;25;Youth;Self-employed;Home Owner;Brazil;Under Armour;231;Retail Store;Spring;Fashion;No;3;2;No
1019;Female;66;Adult;Self-employed;Home Owner;Canada;Crocs;186;Retail Store;Winter;Work;Yes;2;1;Yes
1020;Male;49;Adult;Student;Renter;China;Vans;124;Retail Store;Autumn;Comfort;No;2;4;Yes
1021;Male;67;Adult;Unemployed;Home Owner;France;Puma;95;Online;Spring;Sports;Yes;5;4;Yes
1022;Male;37;Adult;Self-employed;Home Owner;France;Balenciaga;332;Retail Store;Autumn;Comfort;Yes;1;1;Yes
1023;Female;38;Adult;Employed;Renter;France;Under Armour;97;Online;Summer;Fashion;No;4;3;No
1024;Female;67;Youth;Self-employed;Home Owner;Brazil;Balenciaga;48;Online;Spring;Sports;Yes;4;3;Yes
1025;Female;51;Senior;Employed;Home Owner;Brazil;Puma;171;Retail Store;Autumn;Fashion;Yes;1;5;Yes
1026;Female;32;Youth;Self-employed;Renter;UK;New Balance;110;Retail Store;Summer;Work;Yes;2;2;Yes
1027;Female;45;Youth;Self-employed;Home Owner;Canada;Under Armour;436;Retail Store;Spring;Comfort;No;4;1;Yes
1028;Male;26;Adult;Unemployed;Home Owner;China;Crocs;230;Retail Store;Summer;Work;Yes;5;4;Yes
1029;Male;68;Adult;Employed;Home Owner;Italy;Under Armour;143;Retail Store;Autumn;Work;Yes;3;3;No
1030;Male;48;Adult;Self-employed;Home Owner;UK;Nike;286;Online;Spring;Sports;No;5;1;Yes
1031;Male;29;Senior;Employed;Home Owner;Germany;Nike;358;Online;Summer;Fashion;No;5;5;Yes
1032;Female;33;Youth;Employed;Home Owner;China;Adidas;100;Online;Summer;Comfort;Yes;3;5;Yes
1033;Male;58;Adult;Unemployed;Home Owner;Canada;ASICS;303;Online;Winter;Sports;Yes;3;2;Yes
1034;Female;28;Adult;Unemployed;Home Owner;Nigeria;Balenciaga;129;Retail Store;Autumn;Comfort;No;5;3;Yes
1035;Male;58;Senior;Employed;Home Owner;Nigeria;Vans;322;Retail Store;Spring;Work;No;4;5;Yes
1036;Female;28;Adult;Unemployed;Renter;Canada;ASICS;449;Online;Spring;Sports;No;4;2;Yes
1037;Female;68;Youth;Self-employed;Renter;Nigeria;Nike;84;Online;Summer;Work;Yes;5;3;Yes
1038;Male;32;Adult;Self-employed;Renter;China;Crocs;309;Retail Store;Autumn;Comfort;No;3;5;Yes
1039;Male;41;Adult;Unemployed;Home Owner;UK;New Balance;401;Retail Store;Summer;Work;No;5;4;Yes
1040;Male;40;Adult;Employed;Home Owner;Brazil;Under Armour;111;Online;Summer;Work;Yes;2;4;Yes
1041;Male;20;Senior;Self-employed;Renter;Canada;Adidas;415;Retail Store;Spring;Sports;No;2;1;Yes
1042;Female;36;Adult;Student;Renter;Nigeria;Nike;91;Retail Store;Summer;Work;No;2;4;Yes
1043;Male;15;Youth;Employed;Renter;Italy;Crocs;220;Retail Store;Spring;Work;No;2;4;Yes
1044;Male;37;Adult;Employed;Home Owner;China;New Balance;346;Online;Spring;Fashion;Yes;3;3;No
1045;Female;31;Adult;Student;Home Owner;Nigeria;Nike;169;Retail Store;Winter;Comfort;Yes;2;2;Yes
1046;Male;45;Youth;Student;Renter;Germany;New Balance;87;Retail Store;Spring;Comfort;No;2;4;Yes
1047;Male;14;Adult;Employed;Homeless;UK;Crocs;226;Retail Store;Winter;Work;Yes;3;3;Yes
1048;Male;27;Youth;Student;Homeless;India;ASICS;362;Retail Store;Summer;Comfort;No;1;4;No
1049;Male;34;Senior;Unemployed;Homeless;USA;Vans;119;Online;Spring;Sports;No;4;5;Yes
1050;Male;22;Youth;Unemployed;Renter;UK;Crocs;176;Online;Spring;Sports;No;4;3;Yes
1051;Female;30;Adult;Employed;Renter;China;Vans;142;Retail Store;Winter;Comfort;Yes;2;2;No
1052;Male;34;Adult;Unemployed;Home Owner;Japan;Nike;41;Retail Store;Winter;Sports;No;2;1;Yes
1053;Male;58;Adult;Self-employed;Renter;Japan;ASICS;114;Online;Spring;Fashion;Yes;2;2;Yes
1054;Male;61;Adult;Unemployed;Home Owner;USA;Under Armour;260;Online;Autumn;Work;No;1;1;No
1055;Male;39;Adult;Unemployed;Home Owner;Brazil;Vans;309;Retail Store;Autumn;Comfort;No;5;4;Yes
1056;Male;25;Adult;Student;Renter;France;Nike;291;Retail Store;Winter;Fashion;No;1;3;No
1057;Female;45;Senior;Unemployed;Renter;Nigeria;Crocs;354;Retail Store;Spring;Comfort;No;3;2;Yes
1058;Male;17;Adult;Employed;Renter;China;ASICS;342;Online;Summer;Comfort;Yes;4;5;Yes
1059;Female;38;Youth;Unemployed;Home Owner;Italy;Vans;407;Online;Summer;Comfort;Yes;2;2;Yes
1060;Female;25;Adult;Unemployed;Home Owner;Brazil;Puma;422;Online;Autumn;Fashion;No;4;1;Yes
1061;Male;39;Senior;Employed;Renter;Japan;Vans;423;Online;Autumn;Sports;No;1;4;Yes
1062;Male;69;Senior;Employed;Renter;Canada;Nike;203;Online;Summer;Fashion;Yes;2;3;Yes
1063;Male;26;Youth;Student;Home Owner;USA;Puma;72;Online;Winter;Fashion;No;4;4;No
1064;Male;36;Adult;Self-employed;Home Owner;Brazil;New Balance;398;Retail Store;Spring;Fashion;No;5;5;Yes
1065;Female;15;Youth;Unemployed;Renter;France;ASICS;230;Online;Autumn;Work;No;3;1;Yes
1066;Male;59;Adult;Self-employed;Home Owner;Canada;Nike;274;Retail Store;Spring;Comfort;No;2;1;No
1067;Male;63;Adult;Student;Home Owner;Germany;Crocs;57;Online;Winter;Work;Yes;2;1;Yes
1068;Male;61;Senior;Employed;Home Owner;UK;Adidas;445;Retail Store;Winter;Sports;No;5;4;No
1069;Male;42;Adult;Employed;Home Owner;USA;New Balance;256;Online;Autumn;Sports;Yes;2;5;Yes
1070;Male;47;Senior;Employed;Home Owner;Japan;Vans;396;Retail Store;Winter;Sports;Yes;4;2;Yes
1071;Male;60;Youth;Student;Home Owner;Italy;Adidas;44;Retail Store;Summer;Sports;Yes;2;1;Yes
1072;Female;26;Youth;Unemployed;Home Owner;China;ASICS;327;Retail Store;Winter;Fashion;Yes;2;1;No
1073;Female;24;Adult;Student;Home Owner;Germany;Vans;411;Online;Autumn;Work;No;5;1;Yes
1074;Male;40;Adult;Employed;Home Owner;China;New Balance;216;Online;Winter;Work;No;2;1;No
1075;Male;56;Senior;Unemployed;Renter;Germany;Adidas;112;Online;Winter;Sports;No;2;5;Yes
1076;Male;41;Adult;Employed;Renter;Brazil;Crocs;309;Online;Autumn;Work;Yes;2;3;Yes
1077;Female;55;Adult;Employed;Home Owner;USA;Adidas;359;Retail Store;Autumn;Work;Yes;5;1;Yes
1078;Male;29;Adult;Student;Home Owner;UK;Vans;71;Online;Spring;Work;Yes;5;3;Yes
1079;Female;52;Adult;Student;Home Owner;USA;New Balance;176;Online;Summer;Work;Yes;4;4;Yes
1080;Male;61;Senior;Self-employed;Renter;Canada;ASICS;148;Retail Store;Autumn;Work;Yes;5;4;No
1081;Male;33;Adult;Employed;Home Owner;France;Puma;343;Online;Winter;Fashion;Yes;5;2;Yes
1082;Male;69;Adult;Unemployed;Renter;Germany;New Balance;347;Online;Spring;Fashion;Yes;2;1;No
1083;Male;35;Adult;Employed;Renter;Germany;Nike;148;Retail Store;Winter;Work;No;4;4;No
1084;Female;32;Adult;Unemployed;Renter;Japan;Crocs;176;Online;Summer;Work;Yes;2;5;Yes
1085;Female;23;Adult;Self-employed;Home Owner;China;ASICS;147;Retail Store;Winter;Work;Yes;4;5;No
1086;Male;69;Youth;Employed;Renter;Germany;Nike;71;Retail Store;Spring;Sports;Yes;3;3;Yes
1087;Male;69;Youth;Unemployed;Renter;UK;Adidas;403;Retail Store;Summer;Sports;Yes;2;5;Yes
1088;Female;46;Senior;Unemployed;Home Owner;Italy;Puma;177;Retail Store;Winter;Work;Yes;4;1;Yes
1089;Female;22;Adult;Self-employed;Home Owner;USA;Nike;132;Online;Spring;Fashion;No;3;4;Yes
1090;Female;22;Adult;Student;Home Owner;Italy;Under Armour;253;Online;Winter;Sports;Yes;3;4;Yes
1091;Female;55;Adult;Self-employed;Home Owner;Japan;Vans;108;Online;Summer;Comfort;Yes;1;4;Yes
1092;Male;18;Senior;Unemployed;Renter;Brazil;Crocs;306;Retail Store;Winter;Sports;Yes;1;1;Yes
1093;Female;48;Youth;Self-employed;Renter;Canada;Crocs;225;Retail Store;Winter;Sports;No;1;2;Yes
1094;Male;36;Youth;Student;Home Owner;China;Puma;323;Retail Store;Spring;Comfort;Yes;3;3;No
1095;Female;24;Adult;Employed;Home Owner;Germany;Crocs;383;Retail Store;Winter;Work;No;4;5;Yes
1096;Female;55;Youth;Self-employed;Homeless;India;Vans;201;Online;Autumn;Sports;Yes;4;3;Yes
1097;Female;67;Youth;Self-employed;Home Owner;China;Nike;145;Retail Store;Summer;Sports;No;5;3;No
1098;Female;35;Senior;Employed;Home Owner;Japan;New Balance;335;Online;Spring;Work;No;2;4;Yes
1099;Female;39;Youth;Self-employed;Home Owner;Canada;Under Armour;231;Online;Autumn;Sports;No;3;5;Yes
1100;Male;69;Adult;Student;Homeless;USA;Crocs;411;Retail Store;Autumn;Sports;Yes;5;3;No
1101;Male;57;Adult;Unemployed;Renter;Nigeria;Balenciaga;177;Online;Summer;Work;No;3;4;Yes
1102;Female;49;Adult;Self-employed;Home Owner;France;Nike;321;Online;Spring;Sports;No;1;1;Yes
1103;Female;18;Adult;Employed;Home Owner;Nigeria;Adidas;82;Online;Autumn;Work;No;3;4;Yes
1104;Male;13;Adult;Employed;Home Owner;Germany;Under Armour;272;Retail Store;Winter;Sports;No;1;4;Yes
1105;Female;18;Youth;Self-employed;Home Owner;Italy;Crocs;366;Online;Autumn;Work;Yes;1;1;No
1106;Female;62;Youth;Employed;Renter;Germany;Under Armour;151;Retail Store;Summer;Comfort;No;4;5;Yes
1107;Male;34;Adult;Unemployed;Home Owner;Canada;Adidas;410;Online;Autumn;Sports;Yes;1;5;Yes
1108;Female;53;Youth;Unemployed;Home Owner;Italy;New Balance;374;Online;Spring;Comfort;Yes;5;5;Yes
1109;Female;36;Youth;Employed;Home Owner;France;New Balance;101;Online;Autumn;Fashion;No;2;2;No
1110;Male;37;Senior;Self-employed;Home Owner;Japan;Nike;405;Online;Autumn;Fashion;Yes;4;3;Yes
1111;Male;27;Senior;Self-employed;Homeless;Canada;Adidas;276;Retail Store;Summer;Comfort;No;4;4;Yes
1112;Male;38;Adult;Employed;Home Owner;Canada;Balenciaga;234;Retail Store;Autumn;Sports;Yes;4;2;Yes
1113;Female;20;Youth;Unemployed;Home Owner;Japan;Vans;340;Online;Autumn;Comfort;No;2;3;Yes
1114;Male;63;Adult;Unemployed;Renter;India;Puma;228;Online;Spring;Comfort;No;3;4;Yes
1115;Male;36;Adult;Self-employed;Home Owner;Germany;Adidas;257;Online;Summer;Work;No;4;5;Yes
1116;Male;60;Youth;Unemployed;Home Owner;China;Crocs;238;Retail Store;Summer;Comfort;No;1;1;Yes
1117;Male;50;Youth;Student;Home Owner;China;ASICS;425;Online;Summer;Comfort;Yes;3;2;No
1118;Male;18;Adult;Unemployed;Home Owner;Japan;Adidas;241;Online;Summer;Work;No;4;1;Yes
1119;Male;66;Senior;Self-employed;Homeless;Brazil;ASICS;389;Retail Store;Winter;Work;No;4;5;No
1120;Female;47;Adult;Unemployed;Home Owner;Canada;Crocs;86;Online;Winter;Work;No;5;3;Yes
1121;Female;54;Youth;Unemployed;Home Owner;India;Nike;294;Retail Store;Winter;Comfort;Yes;5;1;No
1122;Male;13;Adult;Employed;Renter;UK;Under Armour;362;Retail Store;Summer;Sports;No;5;1;No
1123;Male;58;Adult;Student;Home Owner;Nigeria;Crocs;269;Online;Summer;Fashion;No;4;3;Yes
1124;Male;48;Youth;Employed;Renter;Italy;Crocs;324;Online;Winter;Comfort;Yes;4;2;No
1125;Female;24;Youth;Unemployed;Home Owner;Germany;Under Armour;230;Online;Summer;Sports;Yes;5;2;Yes
1126;Female;50;Adult;Unemployed;Home Owner;Canada;Vans;64;Online;Autumn;Work;No;1;4;No
1127;Female;23;Adult;Employed;Home Owner;Italy;Under Armour;149;Retail Store;Spring;Comfort;No;5;4;Yes
1128;Female;24;Adult;Student;Home Owner;Nigeria;Nike;299;Online;Summer;Comfort;No;4;5;Yes
1129;Female;54;Adult;Self-employed;Home Owner;France;Nike;108;Retail Store;Autumn;Comfort;No;4;3;Yes
1130;Female;62;Adult;Employed;Home Owner;Canada;ASICS;102;Online;Autumn;Work;Yes;2;3;No
1131;Female;51;Senior;Unemployed;Home Owner;Canada;Adidas;301;Retail Store;Winter;Work;Yes;1;4;Yes
1132;Female;19;Adult;Unemployed;Home Owner;Italy;Crocs;378;Online;Spring;Fashion;No;3;2;Yes
1133;Female;23;Adult;Self-employed;Home Owner;Canada;Nike;57;Retail Store;Summer;Work;Yes;1;2;Yes
1134;Male;48;Adult;Unemployed;Home Owner;Canada;ASICS;411;Online;Summer;Work;Yes;5;4;No
1135;Male;64;Adult;Unemployed;Home Owner;Japan;Under Armour;397;Retail Store;Spring;Work;Yes;5;3;Yes
1136;Male;43;Youth;Self-employed;Home Owner;Brazil;Adidas;75;Online;Autumn;Work;Yes;1;1;Yes
1137;Male;45;Senior;Unemployed;Home Owner;China;Puma;371;Retail Store;Summer;Sports;Yes;2;1;Yes
1138;Female;25;Youth;Unemployed;Renter;USA;ASICS;127;Online;Summer;Sports;Yes;2;5;Yes
1139;Female;30;Adult;Student;Home Owner;France;ASICS;224;Online;Spring;Comfort;Yes;3;2;No
1140;Male;53;Adult;Employed;Home Owner;China;Puma;197;Online;Autumn;Sports;Yes;5;3;Yes
1141;Female;68;Adult;Student;Home Owner;USA;ASICS;287;Online;Autumn;Work;Yes;4;2;Yes
1142;Male;36;Adult;Student;Home Owner;Germany;Under Armour;437;Retail Store;Autumn;Work;No;3;1;Yes
1143;Female;21;Adult;Unemployed;Renter;Brazil;Crocs;334;Retail Store;Summer;Fashion;No;1;3;Yes
1144;Male;43;Youth;Employed;Home Owner;Canada;Crocs;425;Online;Autumn;Work;No;2;4;Yes
1145;Female;67;Youth;Employed;Home Owner;Germany;Balenciaga;417;Online;Spring;Work;Yes;3;1;Yes
1146;Female;53;Senior;Unemployed;Home Owner;France;Puma;329;Retail Store;Winter;Comfort;No;4;1;No
1147;Male;22;Adult;Student;Homeless;UK;Nike;97;Online;Winter;Work;No;2;3;Yes
1148;Female;14;Adult;Student;Home Owner;UK;Nike;412;Retail Store;Spring;Comfort;Yes;4;2;No
1149;Male;50;Adult;Student;Renter;Italy;Under Armour;251;Retail Store;Spring;Work;No;4;1;Yes
1150;Male;27;Youth;Employed;Home Owner;UK;ASICS;395;Online;Spring;Comfort;Yes;2;5;Yes
1151;Male;15;Adult;Unemployed;Home Owner;China;New Balance;411;Online;Autumn;Comfort;No;4;1;Yes
1152;Male;55;Adult;Employed;Home Owner;Canada;Balenciaga;254;Retail Store;Spring;Comfort;No;3;2;Yes
1153;Female;43;Adult;Student;Home Owner;USA;Under Armour;329;Retail Store;Summer;Sports;No;2;4;Yes
1154;Female;18;Adult;Employed;Home Owner;India;Under Armour;420;Retail Store;Winter;Work;Yes;2;1;No
1155;Female;15;Youth;Employed;Home Owner;Japan;New Balance;397;Retail Store;Summer;Work;No;2;3;No
1156;Male;68;Adult;Unemployed;Home Owner;USA;Vans;175;Retail Store;Summer;Fashion;Yes;5;2;No
1157;Female;23;Youth;Unemployed;Home Owner;China;New Balance;338;Online;Autumn;Comfort;No;5;1;Yes
1158;Male;27;Youth;Employed;Home Owner;USA;New Balance;358;Retail Store;Autumn;Work;No;2;4;Yes
1159;Female;57;Adult;Self-employed;Home Owner;India;ASICS;294;Online;Winter;Fashion;No;3;3;Yes
1160;Female;64;Adult;Unemployed;Home Owner;Canada;Adidas;410;Retail Store;Autumn;Work;Yes;4;5;Yes
1161;Female;40;Adult;Self-employed;Home Owner;Japan;Puma;229;Retail Store;Autumn;Comfort;No;3;1;Yes
1162;Male;22;Adult;Unemployed;Home Owner;France;Balenciaga;389;Online;Winter;Sports;No;5;1;Yes
1163;Female;50;Senior;Student;Home Owner;Germany;Adidas;150;Online;Spring;Fashion;Yes;4;2;Yes
1164;Female;59;Adult;Self-employed;Renter;Italy;Adidas;315;Retail Store;Winter;Fashion;Yes;5;4;Yes
1165;Male;69;Youth;Student;Home Owner;UK;Adidas;219;Retail Store;Winter;Comfort;Yes;4;2;Yes
1166;Female;62;Adult;Student;Renter;Nigeria;ASICS;123;Retail Store;Spring;Comfort;No;2;5;No
1167;Male;62;Adult;Employed;Renter;Nigeria;New Balance;123;Online;Spring;Fashion;Yes;2;5;No
1168;Female;19;Adult;Student;Renter;USA;Under Armour;341;Online;Winter;Work;No;2;1;Yes
1169;Male;27;Youth;Student;Home Owner;Japan;Balenciaga;382;Retail Store;Spring;Sports;Yes;4;5;Yes
1170;Male;30;Youth;Student;Renter;India;Nike;427;Retail Store;Spring;Work;Yes;1;3;Yes
1171;Female;30;Adult;Student;Renter;USA;Adidas;101;Retail Store;Winter;Comfort;No;2;1;No
1172;Male;64;Adult;Employed;Renter;Nigeria;Vans;422;Online;Spring;Comfort;No;3;3;Yes
1173;Male;53;Adult;Employed;Home Owner;Canada;Crocs;177;Online;Summer;Work;Yes;2;5;Yes
1174;Male;36;Adult;Student;Renter;Brazil;Puma;172;Retail Store;Autumn;Comfort;Yes;5;2;No
1175;Male;14;Adult;Self-employed;Renter;UK;Vans;391;Retail Store;Autumn;Comfort;Yes;2;1;Yes
1176;Male;52;Adult;Unemployed;Home Owner;China;Adidas;185;Retail Store;Winter;Fashion;Yes;2;2;No
1177;Male;32;Adult;Self-employed;Renter;Brazil;Puma;356;Online;Spring;Fashion;Yes;1;1;No
1178;Female;46;Youth;Student;Home Owner;China;Puma;358;Online;Summer;Work;No;1;2;Yes
1179;Male;55;Adult;Employed;Renter;Japan;ASICS;128;Retail Store;Spring;Comfort;Yes;5;4;Yes
1180;Male;38;Adult;Student;Renter;UK;ASICS;294;Online;Spring;Comfort;Yes;3;1;No
1181;Female;19;Youth;Student;Home Owner;UK;Adidas;248;Retail Store;Spring;Sports;No;3;1;No
1182;Female;50;Youth;Employed;Renter;India;New Balance;300;Online;Winter;Comfort;Yes;4;3;Yes
1183;Female;42;Youth;Self-employed;Renter;Canada;Puma;394;Online;Autumn;Work;Yes;1;4;Yes
1184;Female;54;Adult;Unemployed;Home Owner;Brazil;ASICS;290;Online;Autumn;Sports;No;5;2;No
1185;Female;17;Adult;Student;Home Owner;USA;New Balance;60;Online;Summer;Sports;No;2;4;Yes
1186;Female;23;Adult;Employed;Renter;Japan;Nike;139;Online;Summer;Comfort;Yes;3;2;Yes
1187;Female;13;Adult;Unemployed;Home Owner;Nigeria;New Balance;314;Retail Store;Spring;Work;No;4;1;No
1188;Male;46;Senior;Unemployed;Home Owner;USA;Nike;190;Online;Summer;Comfort;No;4;3;Yes
1189;Male;68;Youth;Unemployed;Renter;Italy;ASICS;364;Retail Store;Summer;Comfort;No;2;2;Yes
1190;Female;13;Youth;Employed;Homeless;UK;ASICS;200;Retail Store;Summer;Sports;No;4;1;Yes
1191;Male;31;Adult;Student;Home Owner;India;Nike;427;Retail Store;Spring;Fashion;No;1;5;Yes
1192;Male;14;Adult;Employed;Home Owner;Germany;Vans;278;Online;Spring;Sports;No;5;5;No
1193;Male;33;Adult;Student;Home Owner;Japan;Balenciaga;74;Online;Autumn;Comfort;No;1;5;Yes
1194;Female;32;Adult;Self-employed;Renter;Canada;Nike;354;Online;Winter;Work;No;5;1;Yes
1195;Female;35;Senior;Unemployed;Renter;UK;Balenciaga;81;Online;Spring;Sports;No;2;1;Yes
1196;Male;33;Adult;Student;Home Owner;Japan;Vans;166;Retail Store;Autumn;Fashion;No;1;2;Yes
1197;Female;36;Youth;Self-employed;Home Owner;France;Puma;257;Online;Summer;Work;No;2;3;Yes
1198;Male;16;Adult;Employed;Home Owner;Japan;Balenciaga;396;Online;Summer;Fashion;No;3;2;No
1199;Male;24;Youth;Unemployed;Renter;Germany;Crocs;125;Retail Store;Winter;Sports;No;4;4;Yes
1200;Male;34;Adult;Student;Home Owner;USA;Under Armour;242;Online;Spring;Work;No;5;1;Yes
1201;Male;32;Youth;Unemployed;Renter;Japan;Nike;88;Retail Store;Winter;Sports;Yes;4;1;No
1202;Female;30;Adult;Unemployed;Home Owner;Nigeria;Puma;336;Retail Store;Autumn;Comfort;No;2;3;Yes
1203;Female;13;Adult;Unemployed;Renter;Italy;Adidas;372;Retail Store;Winter;Fashion;No;4;2;Yes
1204;Female;42;Senior;Employed;Home Owner;Nigeria;Crocs;245;Retail Store;Winter;Sports;Yes;5;2;Yes
1205;Male;45;Adult;Unemployed;Renter;USA;Balenciaga;144;Retail Store;Summer;Work;Yes;2;1;Yes
1206;Female;36;Adult;Student;Homeless;China;Nike;88;Online;Summer;Sports;Yes;5;5;Yes
1207;Male;26;Adult;Employed;Renter;Brazil;Balenciaga;110;Online;Summer;Sports;No;3;2;Yes
1208;Female;48;Senior;Self-employed;Renter;France;Balenciaga;123;Online;Autumn;Sports;No;5;4;Yes
1209;Male;17;Adult;Student;Home Owner;Canada;Adidas;213;Retail Store;Autumn;Comfort;No;4;5;Yes
1210;Male;23;Youth;Employed;Home Owner;Brazil;ASICS;359;Online;Spring;Comfort;No;1;5;No
1211;Male;36;Senior;Student;Home Owner;Germany;Puma;291;Online;Spring;Sports;No;2;2;Yes
1212;Female;43;Adult;Student;Home Owner;France;Nike;194;Retail Store;Summer;Work;No;3;5;Yes
1213;Female;67;Adult;Self-employed;Home Owner;India;Under Armour;329;Online;Summer;Work;No;1;4;No
1214;Female;25;Adult;Employed;Renter;India;Vans;253;Online;Winter;Work;No;1;2;No
1215;Female;28;Youth;Unemployed;Renter;Canada;Puma;230;Online;Spring;Comfort;No;1;3;No
1216;Male;36;Senior;Student;Home Owner;Germany;Nike;397;Online;Winter;Sports;No;2;2;Yes
1217;Female;25;Adult;Student;Renter;China;Crocs;140;Retail Store;Autumn;Work;Yes;2;1;Yes
1218;Female;36;Youth;Student;Home Owner;France;Crocs;234;Retail Store;Autumn;Sports;Yes;1;3;Yes
1219;Male;66;Senior;Student;Renter;Canada;ASICS;194;Retail Store;Autumn;Fashion;No;5;2;Yes
1220;Male;38;Adult;Student;Home Owner;Nigeria;ASICS;46;Retail Store;Spring;Fashion;No;5;5;Yes
1221;Male;14;Youth;Employed;Home Owner;Nigeria;Nike;162;Online;Autumn;Work;Yes;1;1;Yes
1222;Female;28;Youth;Student;Home Owner;China;Under Armour;318;Online;Spring;Work;Yes;5;1;No
1223;Male;50;Adult;Student;Renter;France;Crocs;166;Retail Store;Summer;Work;No;1;3;Yes
1224;Male;58;Youth;Student;Homeless;Japan;Vans;255;Retail Store;Winter;Comfort;No;2;4;Yes
1225;Male;13;Senior;Unemployed;Home Owner;Brazil;Adidas;425;Retail Store;Winter;Work;No;5;1;Yes
1226;Female;61;Adult;Unemployed;Home Owner;India;Vans;281;Retail Store;Autumn;Sports;No;3;2;Yes
1227;Male;23;Adult;Employed;Renter;Japan;ASICS;203;Retail Store;Winter;Work;Yes;2;5;Yes
1228;Female;63;Adult;Student;Home Owner;Canada;New Balance;353;Online;Autumn;Work;No;1;3;Yes
1229;Female;47;Adult;Student;Home Owner;Brazil;ASICS;50;Online;Spring;Work;No;3;4;Yes
1230;Male;55;Adult;Self-employed;Home Owner;Japan;Puma;302;Retail Store;Autumn;Comfort;No;3;5;No
1231;Male;41;Adult;Unemployed;Renter;UK;Vans;361;Retail Store;Autumn;Work;No;2;4;Yes
1232;Female;49;Senior;Self-employed;Home Owner;France;Adidas;405;Online;Winter;Fashion;Yes;3;3;No
1233;Male;29;Adult;Student;Home Owner;Germany;Vans;326;Retail Store;Winter;Comfort;No;5;3;Yes
1234;Male;66;Adult;Student;Home Owner;Nigeria;Adidas;85;Online;Spring;Sports;Yes;3;4;Yes
1235;Female;51;Youth;Self-employed;Renter;UK;Adidas;365;Retail Store;Winter;Comfort;Yes;3;1;Yes
1236;Female;54;Adult;Employed;Home Owner;Canada;Nike;293;Online;Spring;Sports;No;4;3;Yes
1237;Male;40;Adult;Employed;Renter;Brazil;Vans;268;Online;Winter;Fashion;No;3;4;Yes
1238;Female;41;Adult;Self-employed;Home Owner;France;Nike;348;Online;Autumn;Work;No;3;1;Yes
1239;Male;55;Youth;Student;Home Owner;Brazil;New Balance;388;Retail Store;Summer;Fashion;No;5;1;Yes
1240;Male;15;Senior;Self-employed;Homeless;Brazil;Crocs;107;Retail Store;Winter;Comfort;Yes;3;3;Yes
1241;Male;64;Adult;Unemployed;Home Owner;Germany;Nike;85;Online;Winter;Comfort;No;3;2;Yes
